DATE,MONTH,YEAR,DAY,TIME,BOROUGH,ZIP.CODE,LATITUDE,LONGITUDE,ON.STREET.NAME,CROSS.STREET.NAME,NUMBER.OF.PERSONS.INJURED,NUMBER.OF.PERSONS.KILLED,NUMBER.OF.PEDESTRIANS.INJURED,NUMBER.OF.PEDESTRIANS.KILLED,NUMBER.OF.CYCLIST.INJURED,NUMBER.OF.CYCLIST.KILLED,NUMBER.OF.MOTORIST.INJURED,NUMBER.OF.MOTORIST.KILLED,CONTRIBUTING.FACTOR.VEHICLE.1,CONTRIBUTING.FACTOR.VEHICLE.2,VEHICLE.TYPE.CODE.1,VEHICLE.TYPE.CODE.2,WEATHER,NUMBER.OF.ACCIDENT
7/1/2012,Jul,2012,Sunday,11,BROOKLYN,11213,40.676895,-73.9359247,TROY AVENUE,PACIFIC STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Aggressive Driving/Road Rage,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,Clean,0
7/1/2012,Jul,2012,Sunday,15,MANHATTAN,10012,40.7215756,-73.9977597,KENMARE STREET,LAFAYETTE STREET,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,Clean,0
7/2/2012,Jul,2012,Monday,16,MANHATTAN,10036,40.7561391,-73.9831689,WEST 44 STREET,6 AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,TAXI,TAXI,Clean,0
7/2/2012,Jul,2012,Monday,19,BRONX,10455,40.8156984,-73.9167701,EAST 149 STREET,BERGEN AVENUE,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,Clean,0
7/2/2012,Jul,2012,Monday,12,MANHATTAN,10065,40.7611802,-73.9579029,EAST 63 STREET,YORK AVENUE,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,TAXI,PASSENGER VEHICLE,Fog,0
7/2/2012,Jul,2012,Monday,19,BROOKLYN,11212,40.6733017,-73.9039121,LIBERTY AVENUE,JUNIUS STREET,1,0,0,0,0,0,1,0,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,Clean,1
7/2/2012,Jul,2012,Monday,9,MANHATTAN,10065,40.7671845,-73.9624695,EAST 68 STREET,3 AVENUE,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,SMALL COM VEH(4 TIRES),PASSENGER VEHICLE,Clean,0
7/2/2012,Jul,2012,Monday,9,QUEENS,11691,40.6007117,-73.7537536,NEW HAVEN AVENUE,BEACH 20 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,SMALL COM VEH(4 TIRES),PASSENGER VEHICLE,Clean,0
7/2/2012,Jul,2012,Monday,11,MANHATTAN,10016,40.7476292,-73.9767362,3 AVENUE,EAST 37 STREET,1,0,0,0,0,0,1,0,Other Vehicular,Other Vehicular,SPORT UTILITY / STATION WAGON,SMALL COM VEH(4 TIRES),Cloudy,1
7/3/2012,Jul,2012,Tuesday,17,QUEENS,11366,40.7214619,-73.8045285,164 STREET,UNION TURNPIKE,0,0,0,0,0,0,0,0,Backing Unsafely,Turning Improperly,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,Clean,0
